City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Nouadhibou,MR,2020-08-28 14:15:51,20.93,-17.03,86.0,70,0,12.75
272,Nizhniy Tsasuchey,RU,2020-08-28 14:15:51,50.52,115.13,57.4,58,100,7.65
273,Raga,SS,2020-08-28 14:15:51,8.46,25.68,84.09,68,90,1.95
274,Constitucion,CL,2020-08-28 14:12:38,-35.33,-72.42,50.76,70,98,12.3
275,Tomatlan,MX,2020-08-28 14:15:52,19.93,-105.25,74.1,95,100,4.74
276,Praya,CV,2020-08-28 14:12:45,14.92,-23.51,84.2,79,40,8.05
277,Abu Dhabi,AE,2020-08-28 14:11:35,24.47,54.37,105.8,35,90,11.41
278,Husavik,IS,2020-08-28 14:15:52,66.04,-17.34,57.2,47,75,13.87
279,Dudinka,RU,2020-08-28 14:14:01,69.41,86.18,59.0,82,100,6.71
280,Buzmeyin,TM,2020-08-28 14:15:52,38.05,58.21,89.6,18,0,6.93
281,Kieta,PG,2020-08-28 14:15:53,-6.22,155.63,78.31,74,100,2.89
282,Okahandja,NA,2020-08-28 14:15:53,-21.98,16.92,75.99,6,0,13.87
283,Upernavik,GL,2020-08-28 14:15:53,72.79,-56.15,42.21,63,0,8.95
284,Namatanai,PG,2020-08-28 14:15:26,-3.67,152.43,77.65,82,100,5.23
285,Mahibadhoo,MV,2020-08-28 14:15:53,3.78,72.97,84.11,70,27,8.03
286,Bondo,CD,2020-08-28 14:15:54,3.81,23.69,83.03,67,95,2.42
287,Brezovo,BG,2020-08-28 14:15:54,42.35,25.08,95.0,19,20,4.7
288,Juneau,US,2020-08-28 14:14:25,58.3,-134.42,51.01,93,90,4.68
289,Vanavara,RU,2020-08-28 14:15:54,60.34,102.28,56.1,81,100,2.42
290,Yulara,AU,2020-08-28 14:12:25,-25.24,130.99,68.0,19,0,10.29
291,Gilgit,PK,2020-08-28 14:15:54,35.92,74.31,71.33,40,69,4.74
292,Longyan,CN,2020-08-28 14:15:54,25.11,117.02,74.3,79,25,0.65
293,Adrar,MR,2020-08-28 14:15:55,20.5,-10.07,106.83,14,0,10.87
294,Cidreira,BR,2020-08-28 14:14:23,-30.18,-50.21,65.79,82,70,3.47
295,Ostrovnoy,RU,2020-08-28 14:15:55,68.05,39.51,52.16,62,99,6.08
296,Velingara,SN,2020-08-28 14:15:55,13.15,-14.12,88.47,64,77,5.75
297,Ewo,CG,2020-08-28 14:15:55,-0.87,14.82,82.4,64,93,6.55
298,Buinsk,RU,2020-08-28 14:15:56,54.95,48.28,82.4,42,75,13.42
299,Sibolga,ID,2020-08-28 14:15:56,1.74,98.78,78.44,80,100,1.45
300,Palana,RU,2020-08-28 14:15:56,59.12,159.97,41.77,81,0,3.96
301,Haapiti,PF,2020-08-28 14:15:56,-17.57,-149.87,71.6,83,20,2.24
302,Touros,BR,2020-08-28 14:15:56,-5.2,-35.46,82.4,65,75,12.75
303,Farafangana,MG,2020-08-28 14:11:26,-22.82,47.83,73.24,78,0,12.77
304,Severo-Kurilsk,RU,2020-08-28 14:15:57,50.68,156.12,48.9,86,100,7.99
305,Tayoltita,MX,2020-08-28 14:15:57,24.08,-105.93,73.29,77,100,2.51
306,Dabhol,IN,2020-08-28 14:15:57,17.6,73.17,77.38,90,100,6.38
