City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
149,Hamilton,39.18,-84.53,72.0,63,100,5.1,overcast clouds,US,2020-08-31 01:17:50
150,San Quintin,30.48,-115.95,70.68,71,0,13.09,clear sky,MX,2020-08-31 01:17:51
151,Bitung,1.45,125.18,87.8,62,20,4.7,few clouds,ID,2020-08-31 01:17:51
152,Tura,25.52,90.22,77.18,91,99,3.98,overcast clouds,IN,2020-08-31 01:17:51
153,Oktyabrskiy,54.48,53.47,55.35,87,100,3.33,overcast clouds,RU,2020-08-31 01:17:52
154,Egvekinot,66.32,-179.17,42.93,73,75,21.97,broken clouds,RU,2020-08-31 01:17:52
155,Srandakan,-7.94,110.25,79.29,68,100,13.56,overcast clouds,ID,2020-08-31 01:17:52
156,Lufilufi,-13.87,-171.6,87.8,74,40,13.87,scattered clouds,WS,2020-08-31 01:17:53
157,Berlevag,70.86,29.09,45.43,75,0,11.18,clear sky,NO,2020-08-31 01:17:53
158,Elliot Lake,46.38,-82.63,62.6,72,1,3.36,clear sky,CA,2020-08-31 01:14:31
159,Pundaguitan,6.37,126.17,83.7,74,100,7.54,overcast clouds,PH,2020-08-31 01:17:53
160,Zhanakorgan,43.91,67.25,71.42,29,0,8.77,clear sky,KZ,2020-08-31 01:17:54
161,Bonthe,7.53,-12.51,76.14,88,89,10.83,moderate rain,SL,2020-08-31 01:17:54
162,Leningradskiy,69.38,178.42,36.64,91,100,5.53,overcast clouds,RU,2020-08-31 01:17:54
163,Dmitriyevka,54.75,55.33,53.6,93,100,6.71,mist,RU,2020-08-31 01:17:55
164,Popondetta,-8.75,148.25,92.25,47,96,3.49,overcast clouds,PG,2020-08-31 01:17:55
165,Dicabisagan,17.08,122.42,86.49,63,6,1.9,clear sky,PH,2020-08-31 01:17:55
166,Basco,20.45,121.97,84.07,81,0,14.7,clear sky,PH,2020-08-31 01:17:56
167,Norman Wells,65.28,-126.83,64.4,45,75,12.75,broken clouds,CA,2020-08-31 01:17:56
168,Tilichiki,60.47,166.1,53.37,63,100,17.87,overcast clouds,RU,2020-08-31 01:17:56
169,Taltal,-25.4,-70.48,56.59,76,100,2.51,overcast clouds,CL,2020-08-31 01:17:57
170,Mount Gambier,-37.83,140.77,50.0,71,75,3.36,broken clouds,AU,2020-08-31 01:17:57
171,Pangyan,5.7,125.28,85.39,65,97,0.67,overcast clouds,PH,2020-08-31 01:17:57
172,Dikson,73.51,80.55,41.94,97,100,13.65,overcast clouds,RU,2020-08-31 01:17:58
173,Rawson,-43.3,-65.1,43.7,62,0,12.77,clear sky,AR,2020-08-31 01:17:58
174,Chemax,20.65,-87.93,79.56,80,75,5.06,broken clouds,MX,2020-08-31 01:17:58
