City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
187,Notodden,NO,2021-03-12 15:06:31,59.5594,9.2585,38.41,37.4,39.0,Clouds,broken clouds,93,75,2.3
188,Saldanha,ZA,2021-03-12 15:06:32,-33.0117,17.9442,82.4,82.4,82.4,Clouds,broken clouds,34,69,10.36
189,Sumbawanga,TZ,2021-03-12 15:03:16,-7.9667,31.6167,75.2,75.2,75.2,Clouds,few clouds,50,20,8.05
190,Barrow,US,2021-03-12 15:04:16,71.2906,-156.7887,-29.2,-29.2,-29.2,Clear,clear sky,68,1,10.36
191,Gunjur,GM,2021-03-12 15:06:32,13.2019,-16.7339,98.6,98.6,98.6,Clouds,broken clouds,15,68,13.8
192,Northport,US,2021-03-12 15:06:32,33.229,-87.5772,62.38,61.0,64.0,Mist,mist,94,90,4.5
193,Xichang,CN,2021-03-12 15:06:33,27.8964,102.2634,58.05,58.05,58.05,Clear,clear sky,52,0,1.99
194,Kandrian,PG,2021-03-12 15:06:33,-6.2167,149.55,77.77,77.77,77.77,Clouds,broken clouds,85,52,5.06
195,Kurumkan,RU,2021-03-12 15:06:33,54.3,110.3,23.05,23.05,23.05,Clouds,few clouds,83,20,3.85
196,Algiers,DZ,2021-03-12 15:04:31,36.7525,3.042,71.6,71.6,71.6,Clear,clear sky,35,0,10.36
197,Henties Bay,NA,2021-03-12 15:06:34,-22.116,14.2845,70.29,70.29,70.29,Clear,clear sky,74,2,13.62
198,Dubovka,RU,2021-03-12 15:06:34,49.0583,44.829,23.0,23.0,23.0,Clear,clear sky,50,0,8.95
199,Kalat,PK,2021-03-12 15:06:35,29.0225,66.5916,56.68,56.68,56.68,Clouds,broken clouds,32,58,5.7
200,Gat,IL,2021-03-12 15:06:35,31.61,34.7642,59.34,57.99,61.0,Clouds,scattered clouds,14,30,11.61
201,Filadelfia,US,2021-03-12 15:02:51,39.9523,-75.1638,61.5,59.0,64.4,Clouds,overcast clouds,63,90,11.5
202,Asuncion,PY,2021-03-12 15:05:41,-25.3007,-57.6359,87.8,87.8,87.8,Clear,clear sky,42,0,4.61
203,Fort Beaufort,ZA,2021-03-12 15:06:36,-32.7748,26.6338,98.06,98.06,98.06,Clear,clear sky,13,8,10.78
204,Tyazhinskiy,RU,2021-03-12 15:06:36,56.116,88.524,8.24,8.24,8.24,Clouds,scattered clouds,87,30,10.58
205,Constantine,DZ,2021-03-12 15:06:37,36.365,6.6147,68.0,68.0,68.0,Clear,clear sky,24,0,10.36
206,Deputatskiy,RU,2021-03-12 15:06:37,69.3,139.9,-19.68,-19.68,-19.68,Clouds,scattered clouds,83,34,3.31
207,Chuguyevka,RU,2021-03-12 15:06:37,44.1653,133.8633,23.83,23.83,23.83,Clear,clear sky,86,0,2.48
208,Port Alfred,ZA,2021-03-12 15:06:38,-33.5906,26.891,73.99,73.99,73.99,Clouds,scattered clouds,85,38,5.99
209,Homer,US,2021-03-12 15:06:38,59.6425,-151.5483,9.72,1.99,15.01,Clear,clear sky,48,1,5.75
210,Saint-Philippe,RE,2021-03-12 15:06:38,-21.3585,55.7679,74.71,66.0,80.6,Clear,clear sky,65,0,17.27
211,Puri,IN,2021-03-12 15:06:39,19.8,85.85,78.8,78.8,78.8,Haze,haze,89,40,8.05
212,Kloulklubed,PW,2021-03-12 15:06:39,7.0419,134.2556,75.2,75.2,75.2,Clouds,overcast clouds,100,90,5.55
213,Chuy,UY,2021-03-12 15:06:39,-33.6971,-53.4616,79.79,79.79,79.79,Clear,clear sky,53,0,8.39
214,Krasnoselkup,RU,2021-03-12 15:06:39,65.7,82.4667,-18.36,-18.36,-18.36,Clouds,few clouds,86,11,11.77
215,Kruisfontein,ZA,2021-03-12 15:06:40,-34.0033,24.7314,81.57,81.57,81.57,Clouds,broken clouds,45,77,8.61
216,Marawi,PH,2021-03-12 15:06:40,7.9986,124.2928,75.99,75.99,75.99,Rain,heavy intensity rain,92,94,1.01
217,Kavieng,PG,2021-03-12 15:06:40,-2.5744,150.7967,82.09,82.09,82.09,Clouds,broken clouds,66,65,4.68
218,Nampa,US,2021-03-12 15:06:41,43.5407,-116.5635,26.96,24.8,28.4,Clear,clear sky,100,1,4.34
219,Xinzhou,CN,2021-03-12 15:04:47,38.4092,112.7333,48.42,48.42,48.42,Clouds,broken clouds,77,77,2.98
220,Morant Bay,JM,2021-03-12 15:06:41,17.8815,-76.4093,82.58,80.01,84.2,Clouds,few clouds,61,20,5.75
221,Lakes Entrance,AU,2021-03-12 15:06:42,-37.8811,147.981,64.0,64.0,64.0,Clouds,broken clouds,92,77,4.94
222,Richards Bay,ZA,2021-03-12 15:04:21,-28.783,32.0377,79.03,79.03,79.03,Clouds,few clouds,80,21,6.17
223,Sept-Iles,CA,2021-03-12 15:06:31,50.2001,-66.3821,35.65,33.8,37.0,Mist,mist,93,90,9.22
224,Zwedru,LR,2021-03-12 15:06:43,6.0667,-8.1281,86.31,86.31,86.31,Rain,moderate rain,71,81,2.77
225,Panama City,PA,2021-03-12 15:04:00,8.9936,-79.5197,82.87,80.6,84.2,Clouds,few clouds,61,20,6.91
226,Zapolyarnyy,RU,2021-03-12 15:06:43,69.4154,30.8136,21.2,21.2,21.2,Clear,clear sky,73,0,10.36
227,Rawson,AR,2021-03-12 15:02:44,-43.3002,-65.1023,72.32,72.32,72.32,Clouds,scattered clouds,35,32,8.72
228,Sur,OM,2021-03-12 15:06:44,22.5667,59.5289,77.9,77.9,77.9,Clear,clear sky,46,0,10.31
229,Shieli,KZ,2021-03-12 15:06:44,44.1667,66.75,24.12,24.12,24.12,Snow,light snow,93,100,25.52
230,Indianola,US,2021-03-12 15:04:03,41.3581,-93.5574,39.6,37.99,41.0,Clouds,broken clouds,64,82,5.7
231,Ancud,CL,2021-03-12 15:06:44,-41.8697,-73.8203,59.63,55.0,66.99,Clouds,few clouds,77,20,6.91
232,Kahului,US,2021-03-12 15:06:45,20.8947,-156.47,67.62,64.99,71.6,Clear,clear sky,83,1,13.8
233,Berlevag,NO,2021-03-12 15:06:45,70.8578,29.0864,23.45,21.2,24.8,Snow,snow,80,90,17.27
234,Dudinka,RU,2021-03-12 15:06:45,69.4058,86.1778,-14.35,-14.35,-14.35,Clouds,overcast clouds,87,100,28.05
235,Mana,GF,2021-03-12 15:06:46,5.6592,-53.7767,77.86,77.86,77.86,Clouds,overcast clouds,89,97,8.75
236,Caxito,AO,2021-03-12 15:04:17,-8.5785,13.6643,86.0,86.0,86.0,Clouds,scattered clouds,70,40,9.22
237,Kirgiz-Miyaki,RU,2021-03-12 15:06:46,53.6324,54.7979,8.04,8.04,8.04,Clear,clear sky,93,10,7.99
238,Mount Gambier,AU,2021-03-12 15:06:47,-37.8333,140.7667,66.2,66.2,66.2,Clouds,overcast clouds,59,100,9.22
239,Chiang Kham,TH,2021-03-12 15:06:47,19.5233,100.3,81.0,81.0,81.0,Clear,clear sky,54,0,2.44
240,Tulsipur,NP,2021-03-12 15:06:47,28.131,82.2973,70.32,70.32,70.32,Clouds,overcast clouds,24,96,5.1
241,Haifa,IL,2021-03-12 15:06:48,32.8156,34.9892,61.48,60.01,62.6,Clouds,scattered clouds,51,40,6.91
242,Atyrau,KZ,2021-03-12 15:06:48,47.1167,51.8833,21.2,21.2,21.2,Clear,clear sky,49,0,11.18
243,Chokurdakh,RU,2021-03-12 15:06:49,70.6333,147.9167,-19.86,-19.86,-19.86,Clouds,few clouds,99,24,5.39
244,Jalu,LY,2021-03-12 15:06:49,29.0331,21.5482,68.81,68.81,68.81,Clouds,overcast clouds,19,100,10.63
245,Coahuayana,MX,2021-03-12 15:06:49,18.7333,-103.6833,77.0,77.0,77.0,Clear,clear sky,47,1,1.45
246,Nkhotakota,MW,2021-03-12 15:06:49,-12.9274,34.2961,78.6,78.6,78.6,Clouds,broken clouds,77,63,3.33
247,Abu Samrah,SY,2021-03-12 15:06:50,35.3029,37.1841,54.48,54.48,54.48,Clear,clear sky,50,0,20.09
248,Toora-Khem,RU,2021-03-12 15:06:50,52.4675,96.11,27.27,27.27,27.27,Clouds,overcast clouds,86,100,2.95
249,Pacific Grove,US,2021-03-12 15:02:27,36.6177,-121.9166,47.19,45.0,48.99,Clouds,scattered clouds,88,34,4.18
250,Benjamin Hill,MX,2021-03-12 15:06:51,30.1667,-111.1,55.99,55.99,55.99,Clear,clear sky,67,0,5.99
251,Bethel,US,2021-03-12 15:06:51,41.3712,-73.414,57.79,55.99,59.0,Clear,clear sky,29,1,12.66
252,Yumen,CN,2021-03-12 15:06:51,40.2833,97.2,48.88,48.88,48.88,Clear,clear sky,21,0,8.55
253,Bay City,US,2021-03-12 15:06:52,43.5945,-83.8889,43.25,42.01,44.6,Clear,clear sky,49,1,16.11
254,Takoradi,GH,2021-03-12 15:06:52,4.8845,-1.7554,85.89,85.89,85.89,Rain,light rain,70,81,10.58
255,Elko,US,2021-03-12 15:06:52,41.0002,-115.5012,27.18,25.0,28.99,Clear,clear sky,49,0,5.99
256,Meadow Lake,US,2021-03-12 15:06:53,34.8014,-106.5436,45.09,44.01,46.4,Clouds,broken clouds,13,75,3.44
257,Mehamn,NO,2021-03-12 15:06:53,71.0357,27.8492,24.8,24.8,24.8,Clouds,broken clouds,80,75,12.66
258,Ukiah,US,2021-03-12 15:06:53,39.1502,-123.2078,33.42,30.0,36.0,Clear,clear sky,86,1,3.44
259,Somerset,US,2021-03-12 15:03:28,40.5668,-74.5496,62.06,60.8,62.6,Clouds,broken clouds,45,75,6.15
260,Nome,US,2021-03-12 15:06:54,64.5011,-165.4064,-8.28,-11.0,-4.0,Clouds,overcast clouds,77,90,9.22
261,Bonavista,CA,2021-03-12 15:06:54,48.6499,-53.1147,39.2,39.2,39.2,Clouds,overcast clouds,87,99,10.36
262,Polyarnyy,RU,2021-03-12 15:06:54,69.1989,33.4478,19.4,19.4,19.4,Clear,clear sky,63,0,8.95
263,Torbay,CA,2021-03-12 15:03:20,47.6666,-52.7314,43.97,43.0,45.0,Clouds,broken clouds,70,75,26.46
264,Labuhan,ID,2021-03-12 15:06:55,-6.8844,112.2051,79.56,79.56,79.56,Clouds,overcast clouds,81,88,3.13
265,Souillac,MU,2021-03-12 15:06:55,-20.5167,57.5167,82.4,82.4,82.4,Clouds,scattered clouds,65,40,9.22
266,Edd,ER,2021-03-12 15:06:55,13.9297,41.6925,91.02,91.02,91.02,Clouds,scattered clouds,39,42,23.15
267,Berdigestyakh,RU,2021-03-12 15:06:56,62.0989,126.6992,13.37,13.37,13.37,Snow,light snow,96,100,2.26
268,Hambantota,LK,2021-03-12 15:06:56,6.1241,81.1185,80.6,80.6,80.6,Clouds,few clouds,89,20,8.05
269,Nishihara,JP,2021-03-12 15:06:56,26.1842,127.7558,65.66,64.4,66.2,Clouds,overcast clouds,63,90,11.5
270,Coos Bay,US,2021-03-12 15:05:12,43.3665,-124.2179,34.25,32.0,35.6,Fog,fog,100,90,3.44
271,Robertsport,LR,2021-03-12 15:06:57,6.7533,-11.3686,82.76,82.76,82.76,Rain,light rain,76,55,10.56
272,Umm Bab,QA,2021-03-12 15:06:57,25.2142,50.8072,96.8,96.8,96.8,Dust,dust,8,1,17.27
273,Rutul,RU,2021-03-12 15:06:57,41.5357,47.4239,33.8,33.8,33.8,Snow,light snow,100,90,4.61
274,Pierre,US,2021-03-12 15:06:58,44.3683,-100.351,34.21,28.4,39.0,Clear,clear sky,86,1,4.61
275,Bathsheba,BB,2021-03-12 15:06:58,13.2167,-59.5167,82.4,82.4,82.4,Clouds,scattered clouds,61,40,18.41
276,Sola,VU,2021-03-12 15:06:58,-13.8833,167.55,81.27,81.27,81.27,Clouds,overcast clouds,77,100,16.55
277,San Andres,CO,2021-03-12 15:06:59,12.5847,-81.7006,80.6,80.6,80.6,Clouds,overcast clouds,74,90,13.8
278,Buchanan,LR,2021-03-12 15:04:25,5.8808,-10.0467,86.0,86.0,86.0,Rain,light rain,70,75,9.57
279,Borovskoy,KZ,2021-03-12 15:06:59,53.8,64.15,-9.44,-9.44,-9.44,Clear,clear sky,92,0,8.84
280,Imbituba,BR,2021-03-12 15:06:59,-28.24,-48.6703,80.6,80.6,80.6,Clouds,few clouds,65,20,5.75
281,Yaring,TH,2021-03-12 15:07:00,6.8662,101.3689,77.94,77.94,77.94,Clouds,overcast clouds,84,90,8.39
282,Port Elizabeth,ZA,2021-03-12 15:07:00,-33.918,25.5701,77.0,77.0,77.0,Clear,clear sky,69,0,9.22
283,Vanimo,PG,2021-03-12 15:07:01,-2.6741,141.3028,78.48,78.48,78.48,Clouds,overcast clouds,86,94,1.9
284,Shache,CN,2021-03-12 15:07:01,38.4167,77.2406,54.54,54.54,54.54,Clouds,broken clouds,24,73,6.78
285,Geraldton,AU,2021-03-12 15:07:01,-28.7667,114.6,75.2,75.2,75.2,Clear,clear sky,69,0,14.97
286,Honiara,SB,2021-03-12 15:07:01,-9.4333,159.95,77.63,77.63,77.63,Clouds,overcast clouds,89,100,0.47
287,Zhanakorgan,KZ,2021-03-12 15:07:02,43.9098,67.2495,34.18,34.18,34.18,Rain,light rain,82,100,23.89
288,Roald,NO,2021-03-12 15:07:02,62.5833,6.1333,40.6,39.99,41.0,Drizzle,light intensity drizzle,87,75,14.97
289,La Paz Centro,NI,2021-03-12 15:07:02,12.34,-86.6753,81.48,80.6,82.4,Clouds,scattered clouds,69,40,9.22
290,Alyangula,AU,2021-03-12 15:07:03,-13.8483,136.4192,78.8,78.8,78.8,Clouds,scattered clouds,100,40,9.33
291,Bukavu,CD,2021-03-12 15:07:03,-2.5083,28.8608,76.35,76.35,76.35,Clouds,scattered clouds,66,43,2.24
292,Xining,CN,2021-03-12 15:07:03,36.6167,101.7667,43.5,43.5,43.5,Clear,clear sky,37,0,2.06
293,Inhambane,MZ,2021-03-12 15:07:04,-23.865,35.3833,86.0,86.0,86.0,Clouds,scattered clouds,54,40,8.05
294,Macau,MO,2021-03-12 15:05:54,22.2006,113.5461,73.4,73.4,73.4,Clouds,few clouds,78,20,2.3
295,Hermiston,US,2021-03-12 15:07:03,45.8404,-119.2895,32.88,30.2,36.0,Clear,clear sky,80,1,4.61
296,Nador,MA,2021-03-12 15:06:26,35.174,-2.9287,70.61,69.8,71.6,Clear,clear sky,43,0,14.97
297,Palmer,US,2021-03-12 15:03:01,42.1584,-72.3287,52.79,50.0,55.0,Clouds,few clouds,32,20,12.66
298,Bismarck,US,2021-03-12 15:07:05,46.8083,-100.7837,24.08,21.2,26.6,Clear,clear sky,68,1,12.66
299,Laguna,US,2021-03-12 15:07:05,38.421,-121.4238,36.43,33.8,39.0,Clear,clear sky,93,1,1.86
300,Coihaique,CL,2021-03-12 15:07:05,-45.5752,-72.0662,64.4,64.4,64.4,Clear,clear sky,52,0,5.75
301,Olafsvik,IS,2021-03-12 15:07:06,64.8945,-23.7142,31.44,31.44,31.44,Clouds,overcast clouds,75,100,26.24
302,Nhulunbuy,AU,2021-03-12 15:07:06,-12.2333,136.7667,78.8,78.8,78.8,Clouds,broken clouds,94,58,6.82
303,Portland,US,2021-03-12 15:02:24,45.5234,-122.6762,35.15,33.01,37.0,Clouds,few clouds,80,20,1.05
304,Nouadhibou,MR,2021-03-12 15:07:06,20.931,-17.0347,80.6,80.6,80.6,Dust,dust,32,50,13.8
305,Halden,NO,2021-03-12 15:07:07,59.1226,11.3871,41.32,41.0,42.01,Clouds,scattered clouds,75,40,9.22
306,Bontang,ID,2021-03-12 15:07:07,0.1333,117.5,80.78,80.78,80.78,Clouds,few clouds,80,11,5.21
